INFO:root:episode:5100 e_greed:0.15892799999995894 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [4, 4], [3, 3], [2, 7], [1, 6], [0, 5], [1, 1], [2, 2], [1, 0]]
INFO:root:episode:5150 e_greed:0.15852799999995854 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [4, 4], [3, 3], [1, 6], [2, 7], [0, 5], [1, 1], [2, 2], [1, 0]]
INFO:root:episode:5200 e_greed:0.15812799999995814 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [4, 4], [3, 3], [2, 7], [1, 6], [0, 5], [2, 2], [1, 1], [1, 0]]
INFO:root:episode:5250 e_greed:0.15772799999995774 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [4, 4], [3, 3], [1, 6], [2, 7], [0, 5], [1, 1], [1, 0], [2, 2]]
INFO:root:episode:5300 e_greed:0.15732799999995734 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [4, 4], [3, 3], [1, 6], [2, 7], [0, 5], [1, 1], [1, 0], [2, 2]]
INFO:root:episode:5350 e_greed:0.15692799999995694 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [4, 4], [3, 3], [1, 6], [2, 7], [0, 5], [1, 1], [1, 0], [2, 2]]
INFO:root:episode:5400 e_greed:0.15652799999995654 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [4, 4], [3, 3], [1, 6], [2, 7], [0, 5], [1, 1], [1, 0], [2, 2]]
INFO:root:episode:5450 e_greed:0.15612799999995614 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [4, 4], [3, 3], [1, 6], [2, 7], [0, 5], [1, 0], [1, 1], [2, 2]]
INFO:root:episode:5500 e_greed:0.15572799999995574 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [4, 4], [3, 3], [1, 6], [2, 7], [0, 5], [1, 0], [1, 1], [2, 2]]
INFO:root:episode:5550 e_greed:0.15532799999995534 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [4, 4], [3, 3], [1, 6], [2, 7], [0, 5], [1, 0], [1, 1], [2, 2]]
INFO:root:episode:5600 e_greed:0.15492799999995494 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [4, 4], [3, 3], [1, 6], [2, 7], [0, 5], [1, 0], [1, 1], [2, 2]]
INFO:root:episode:5650 e_greed:0.15452799999995454 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [4, 4], [3, 3], [1, 6], [2, 7], [0, 5], [1, 0], [1, 1], [2, 2]]
INFO:root:episode:5700 e_greed:0.15412799999995414 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [4, 4], [3, 3], [1, 6], [1, 0], [2, 7], [0, 5], [1, 1], [2, 2]]
INFO:root:episode:5750 e_greed:0.15372799999995373 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [4, 4], [3, 3], [1, 6], [1, 0], [0, 5], [2, 7], [1, 1], [4, 2]]
INFO:root:episode:5800 e_greed:0.15332799999995333 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [4, 4], [3, 3], [1, 6], [1, 0], [0, 5], [2, 7], [1, 1], [2, 2]]
INFO:root:episode:5850 e_greed:0.15292799999995293 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [4, 4], [3, 3], [1, 6], [1, 0], [2, 7], [0, 5], [1, 1], [2, 2]]
INFO:root:episode:5900 e_greed:0.15252799999995253 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [4, 4], [3, 3], [1, 6], [1, 0], [0, 5], [2, 7], [1, 1], [2, 2]]
INFO:root:episode:5950 e_greed:0.15212799999995213 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [4, 4], [3, 3], [1, 6], [1, 0], [0, 5], [2, 7], [1, 1], [2, 2]]
INFO:root:episode:6000 e_greed:0.15172799999995173 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [4, 4], [3, 3], [1, 6], [1, 0], [0, 5], [2, 7], [1, 1], [4, 2]]
INFO:root:episode:6050 e_greed:0.15132799999995133 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [4, 4], [3, 3], [1, 0], [1, 6], [2, 7], [0, 5], [1, 1], [4, 2]]
INFO:root:episode:6100 e_greed:0.15092799999995093 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [4, 4], [3, 3], [1, 0], [1, 6], [2, 7], [0, 5], [1, 1], [2, 2]]
INFO:root:episode:6150 e_greed:0.15052799999995053 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [4, 4], [3, 3], [1, 6], [1, 0], [0, 5], [2, 7], [1, 1], [2, 2]]
INFO:root:episode:6200 e_greed:0.15012799999995013 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [4, 4], [3, 3], [1, 0], [1, 6], [0, 5], [2, 7], [1, 1], [2, 2]]
INFO:root:episode:6250 e_greed:0.14972799999994973 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [4, 4], [3, 3], [1, 0], [1, 6], [0, 5], [2, 7], [1, 1], [2, 2]]
INFO:root:episode:6300 e_greed:0.14932799999994933 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [4, 4], [3, 3], [1, 6], [1, 0], [0, 5], [2, 7], [1, 1], [2, 2]]
INFO:root:episode:6350 e_greed:0.14892799999994893 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [4, 4], [3, 3], [1, 6], [1, 0], [0, 5], [2, 7], [1, 1], [2, 2]]
